Trace
Swept SA
A.02.06,N9010A
79901000,-62.0401614346644
79901600,-63.1513201080246
79902200,-62.8653695867742
79902800,-63.0297485924885
79903400,-63.7841691912918
79904000,-63.9324084876574
79904600,-64.1079856799974
79905200,-63.6085731884186
79905800,-63.5394181842377
79906400,-62.8236027782697
79907000,-62.9718495651331
79907600,-62.1019667861696
79908200,-62.1652258696058
79908800,-60.9056553145042
79909400,-61.064594533078
79910000,-59.9222134695484
79910600,-59.4259577618815
79911200,-59.1819251807226
79911800,-59.3444195078392
79912400,-58.3314657898651
79913000,-58.0501483200289
79913600,-57.4885904563208
79914200,-57.5796351482268
79914800,-56.8992035996413
79915400,-56.5183329875574
79916000,-55.692673026664
79916600,-55.9494944690778
79917200,-55.6178542847181
79917800,-55.3664487455217
79918400,-54.7279122674857
79919000,-55.0364617222936
79919600,-54.2652823892831
79920200,-53.8568315960627
79920800,-54.5332138124082
79921400,-53.8338267406427
79922000,-53.3938053550419
79922600,-53.1713301050888
79923200,-53.007195132339
79923800,-52.8219530928072
79924400,-52.6145266631065
79925000,-53.1162145033589
79925600,-52.6119992357224
79926200,-52.6726476274922
79926800,-52.0825745100299
79927400,-51.4485471405311
79928000,-52.5122345151506
79928600,-51.9376626863492
79929200,-51.8680847803879
79929800,-52.3053617768577
79930400,-52.3891618014456
79931000,-52.1209725608718
79931600,-51.4608091830532
79932200,-51.5485272069295
79932800,-51.286432470073
79933400,-51.5076596641547
79934000,-52.1572757504744
79934600,-51.8764627989895
79935200,-52.2983622355583
79935800,-52.8166815399193
79936400,-52.2396967480668
79937000,-52.5363942025905
79937600,-52.3084813277633
79938200,-51.8471397677983
79938800,-52.0891127755133
79939400,-52.3672400322618
79940000,-52.9184813384093
79940600,-52.5081361863363
79941200,-53.3872123884185
79941800,-53.3600394014932
79942400,-53.2189389298903
79943000,-54.3720310965912
79943600,-54.1738249551681
79944200,-54.685745961344
79944800,-54.359351623405
79945400,-55.816106632543
79946000,-55.2506063984
79946600,-55.8715449740126
79947200,-56.0113756568472
79947800,-56.0413510794246
79948400,-56.9247568254744
79949000,-56.7166093883732
79949600,-57.3516674368532
79950200,-56.6639190104195
79950800,-57.5120604329926
79951400,-57.791299597916
79952000,-56.8955057270634
79952600,-56.2686066685612
79953200,-55.3990783830598
79953800,-54.9503187604114
79954400,-55.2824986353566
79955000,-54.6623978552731
79955600,-53.6259064088001
79956200,-52.8294745507971
79956800,-53.394419188321
79957400,-50.963942825169
79958000,-51.2263315311399
79958600,-51.8079013626536
79959200,-50.1873696996203
79959800,-50.6271573943651
79960400,-49.7148009061508
79961000,-49.4961063998119
79961600,-48.7800975482876
79962200,-48.4992612273457
79962800,-47.4203499780139
79963400,-47.3843003253692
79964000,-46.8693153290253
79964600,-46.4552035390573
79965200,-46.4027397057376
79965800,-46.2719412111049
79966400,-45.2807287275224
79967000,-44.7701725596122
79967600,-44.3722862212815
79968200,-44.7518025235239
79968800,-44.2771287073409
79969400,-43.2621271311565
79970000,-42.7484970732366
79970600,-42.4252699714272
79971200,-42.4520235767619
79971800,-42.5277361066915
79972400,-41.6000419647035
79973000,-40.8053050603741
79973600,-41.4678051357777
79974200,-40.2231562406431
79974800,-40.9933056284374
79975400,-40.31824061144
79976000,-39.9081682150589
79976600,-39.8113540207943
79977200,-38.2279677519218
79977800,-38.3045354608538
79978400,-37.5728217741602
79979000,-37.3243261387607
79979600,-37.0225159704423
79980200,-36.0463672994568
79980800,-36.0127606203127
79981400,-35.0008372313381
79982000,-35.1631816154987
79982600,-34.6473868965538
79983200,-34.2178198453599
79983800,-34.2978359813516
79984400,-33.9087362983453
79985000,-34.3502821277035
79985600,-33.0169729173924
79986200,-32.3525338607482
79986800,-32.1898790175456
79987400,-31.9865695716273
79988000,-31.9723919686167
79988600,-30.3353471825404
79989200,-30.9270008194356
79989800,-29.8173013078543
79990400,-29.1629603906607
79991000,-28.2298848117249
79991600,-28.4301115836143
79992200,-25.8667098611671
79992800,-26.559589687137
79993400,-24.6952387543267
79994000,-25.4117411112658
79994600,-23.8454376014997
79995200,-22.2650119837848
79995800,-21.2570437806185
79996400,-21.3124279494516
79997000,-19.8019468136592
79997600,-19.7804146109493
79998200,-19.4071808874839
79998800,-18.0773843008182
79999400,-18.5501563669295
80000000,-17.8858827340813
80000600,-18.8608030164624
80001200,-18.3307868816632
80001800,-18.658946095451
80002400,-19.7933362138145
80003000,-19.9899835602135
80003600,-20.495353078314
80004200,-21.7281265168017
80004800,-22.9267831033326
80005400,-23.8235876463909
80006000,-25.6264106756687
80006600,-24.5757432526678
80007200,-25.8977703233496
80007800,-26.6673762185979
80008400,-29.1961390519889
80009000,-28.6554994322957
80009600,-29.9858443655638
80010200,-30.7289510720607
80010800,-30.5102812483178
80011400,-30.9907522816694
80012000,-30.4568863969444
80012600,-32.3300027163221
80013200,-32.0497959359601
80013800,-32.920447451823
80014400,-33.3490882018506
80015000,-32.9839739744315
80015600,-34.9519105868087
80016200,-34.1869083259229
80016800,-35.2300985703042
80017400,-34.8966277336189
80018000,-35.4127139883564
80018600,-36.5483630119007
80019200,-36.5689107126865
80019800,-37.1505511681968
80020400,-37.1817716616132
80021000,-37.8993078931407
80021600,-37.1168201910751
80022200,-38.9314907220229
80022800,-39.02429067456
80023400,-39.8981913079282
80024000,-39.6593774252522
80024600,-40.2783978582799
80025200,-40.7795710669865
80025800,-40.613767035587
80026400,-41.2850240298843
80027000,-41.2981674076215
80027600,-42.0750860851298
80028200,-41.8901587206996
80028800,-42.6799854644376
80029400,-43.3427322884793
80030000,-43.4085602493161
80030600,-43.0066199451998
80031200,-44.2845732478606
